"","x"
"1",112.556138869132
"2",112.556138869132
"3",109.342767603129
"4",109.342767603129
"5",107.736081970128
"6",99.7026538051209
"7",93.2759112731152
"8",90.0625400071124
"9",86.8491687411095
"10",83.6357974751067
"11",82.0291118421053
"12",80.4224262091039
"13",80.4224262091039
"14",78.8157405761024
"15",78.8157405761024
"16",78.8157405761024
"17",80.4224262091039
"18",82.0291118421053
"19",85.2424831081081
"20",90.0625400071124
"21",94.8825969061167
"22",101.309339438122
"23",107.736081970128
"24",114.162824502134
"25",122.196252667141
"26",130.229680832148
"27",136.656423364154
"28",144.689851529161
"29",154.329965327169
"30",162.363393492176
"31",168.790136024182
"32",175.216878556188
"33",178.430249822191
"34",181.643621088193
"35",181.643621088193
"36",181.643621088193
"37",181.643621088193
"38",181.643621088193
"39",181.643621088193
"40",178.430249822191
"41",176.823564189189
"42",172.003507290185
"43",165.576764758179
"44",160.756707859175
"45",152.723279694168
"46",144.689851529161
"47",136.656423364154
"48",127.016309566145
"49",118.982881401138
"50",114.162824502134
"51",110.949453236131
"52",110.949453236131
