"","x"
"1",37.7938395415473
"2",37.7938395415473
"3",42.6484240687679
"4",42.6484240687679
"5",44.2666189111748
"6",52.3575931232092
"7",60.4485673352436
"8",65.3031518624642
"9",70.1577363896848
"10",78.2487106017192
"11",86.3396848137536
"12",94.430659025788
"13",100.903438395415
"14",107.376217765043
"15",113.84899713467
"16",120.321776504298
"17",125.176361031519
"18",131.649140401146
"19",138.121919770774
"20",147.831088825215
"21",157.540257879656
"22",165.631232091691
"23",170.485816618911
"24",172.104011461318
"25",172.104011461318
"26",172.104011461318
"27",172.104011461318
"28",167.249426934097
"29",160.77664756447
"30",152.685673352436
"31",144.594699140401
"32",133.267335243553
"33",126.794555873926
"34",117.085386819484
"35",110.612607449857
"36",102.521633237822
"37",91.1942693409742
"38",84.7214899713467
"39",79.8669054441261
"40",75.0123209169055
"41",70.1577363896848
"42",62.0667621776504
"43",55.5939828080229
"44",50.7393982808023
"45",44.2666189111748
"46",37.7938395415473
"47",34.5574498567335
"48",32.9392550143267
"49",31.3210601719198
"50",31.3210601719198
"51",31.3210601719198
"52",32.9392550143267
